date,key,value
01/01/19,Bronx,0
02/01/19,Bronx,0
03/01/19,Bronx,0
04/01/19,Bronx,0
05/01/19,Bronx,0
06/01/19,Bronx,0
07/01/19,Bronx,0
08/01/19,Bronx,0
09/01/19,Bronx,0
10/01/19,Bronx,0
11/01/19,Bronx,0
12/01/19,Bronx,0
01/01/20,Bronx,0
02/01/20,Bronx,0
03/01/20,Bronx,0
04/01/20,Bronx,0
05/01/20,Bronx,3267
06/01/20,Bronx,9834
07/01/20,Bronx,11572
08/01/20,Bronx,15695
09/01/20,Bronx,27324
10/01/20,Bronx,32992
11/01/20,Bronx,27584
12/01/20,Bronx,13286
01/01/21,Bronx,11332
02/01/21,Bronx,5765
03/01/21,Bronx,19946
04/01/21,Bronx,31315
05/01/21,Bronx,51837
06/01/21,Bronx,73193
07/01/21,Bronx,73621
08/01/21,Bronx,69842
09/01/21,Bronx,68376
01/01/19,Brooklyn,176082
02/01/19,Brooklyn,171002
03/01/19,Brooklyn,240760
04/01/19,Brooklyn,325786
05/01/19,Brooklyn,361822
06/01/19,Brooklyn,431374
07/01/19,Brooklyn,412389
08/01/19,Brooklyn,432681
09/01/19,Brooklyn,447408
10/01/19,Brooklyn,365356
11/01/19,Brooklyn,255211
12/01/19,Brooklyn,166792
01/01/20,Brooklyn,221460
02/01/20,Brooklyn,207336
03/01/20,Brooklyn,205138
04/01/20,Brooklyn,144850
05/01/20,Brooklyn,335959
06/01/20,Brooklyn,416187
07/01/20,Brooklyn,439867
08/01/20,Brooklyn,489552
09/01/20,Brooklyn,498813
10/01/20,Brooklyn,448241
11/01/20,Brooklyn,342784
12/01/20,Brooklyn,205535
01/01/21,Brooklyn,199875
02/01/21,Brooklyn,119143
03/01/21,Brooklyn,316066
04/01/21,Brooklyn,439224
05/01/21,Brooklyn,590174
06/01/21,Brooklyn,699390
07/01/21,Brooklyn,695185
08/01/21,Brooklyn,674819
09/01/21,Brooklyn,704173
01/01/19,Hudson,19605
02/01/19,Hudson,18519
03/01/19,Hudson,23570
04/01/19,Hudson,33041
05/01/19,Hudson,36123
06/01/19,Hudson,39418
07/01/19,Hudson,43739
08/01/19,Hudson,48711
09/01/19,Hudson,49241
10/01/19,Hudson,42232
11/01/19,Hudson,30773
12/01/19,Hudson,19686
01/01/20,Hudson,25969
02/01/20,Hudson,22926
03/01/20,Hudson,17635
04/01/20,Hudson,9175
05/01/20,Hudson,25049
06/01/20,Hudson,36916
07/01/20,Hudson,38668
08/01/20,Hudson,43267
09/01/20,Hudson,40378
10/01/20,Hudson,43500
11/01/20,Hudson,21240
12/01/20,Hudson,11614
01/01/21,Hudson,11539
02/01/21,Hudson,4714
03/01/21,Hudson,17063
04/01/21,Hudson,23735
05/01/21,Hudson,45017
06/01/21,Hudson,71421
07/01/21,Hudson,82547
08/01/21,Hudson,93796
09/01/21,Hudson,97276
01/01/19,Manhattan,769529
02/01/19,Manhattan,751465
03/01/19,Manhattan,1054323
04/01/19,Manhattan,1393962
05/01/19,Manhattan,1512494
06/01/19,Manhattan,1631895
07/01/19,Manhattan,1701309
08/01/19,Manhattan,1840232
09/01/19,Manhattan,1929874
10/01/19,Manhattan,1670895
11/01/19,Manhattan,1186627
12/01/19,Manhattan,765309
01/01/20,Manhattan,988692
02/01/20,Manhattan,910957
03/01/20,Manhattan,829268
04/01/20,Manhattan,506383
05/01/20,Manhattan,1068919
06/01/20,Manhattan,1361208
07/01/20,Manhattan,1559580
08/01/20,Manhattan,1723655
09/01/20,Manhattan,1863649
10/01/20,Manhattan,1683875
11/01/20,Manhattan,1302574
12/01/20,Manhattan,833123
01/01/21,Manhattan,799290
02/01/21,Manhattan,499529
03/01/21,Manhattan,1129943
04/01/21,Manhattan,1510729
05/01/21,Manhattan,1972850
06/01/21,Manhattan,2276553
07/01/21,Manhattan,2185107
08/01/21,Manhattan,2197394
09/01/21,Manhattan,2372034
01/01/19,Queens,21503
02/01/19,Queens,21160
03/01/19,Queens,32798
04/01/19,Queens,46323
05/01/19,Queens,50183
06/01/19,Queens,62087
07/01/19,Queens,67284
08/01/19,Queens,71209
09/01/19,Queens,67614
10/01/19,Queens,56247
11/01/19,Queens,36668
12/01/19,Queens,22455
01/01/20,Queens,30064
02/01/20,Queens,28188
03/01/20,Queens,33599
04/01/20,Queens,31120
05/01/20,Queens,79636
06/01/20,Queens,94981
07/01/20,Queens,94739
08/01/20,Queens,100546
09/01/20,Queens,98387
10/01/20,Queens,83534
11/01/20,Queens,63419
12/01/20,Queens,36062
01/01/21,Queens,36991
02/01/21,Queens,24037
03/01/21,Queens,64327
04/01/21,Queens,85808
05/01/21,Queens,108739
06/01/21,Queens,128101
07/01/21,Queens,130346
08/01/21,Queens,130082
09/01/21,Queens,135380
