date,Bronx,Brooklyn,Hudson ,Manhattan,Queens
1/2019,0,176082,19605,769529,21503
2/2019,0,171002,18519,751465,21160
3/2019,0,240760,23570,1054323,32798
4/2019,0,325786,33041,1393962,46323
5/2019,0,361822,36123,1512494,50183
6/2019,0,431374,39418,1631895,62087
7/2019,0,412389,43739,1701309,67284
8/2019,0,432681,48711,1840232,71209
9/2019,0,447408,49241,1929874,67614
10/2019,0,365356,42232,1670895,56247
11/2019,0,255211,30773,1186627,36668
12/2019,0,166792,19686,765309,22455
1/2020,0,221460,25969,988692,30064
2/2020,0,207336,22926,910957,28188
3/2020,0,205138,17635,829268,33599
4/2020,0,144850,9175,506383,31120
5/2020,3267,335959,25049,1068919,79636
6/2020,9834,416187,36916,1361208,94981
7/2020,11572,439867,38668,1559580,94739
8/2020,15695,489552,43267,1723655,100546
9/2020,27324,498813,40378,1863649,98387
10/2020,32992,448241,43500,1683875,83534
11/2020,27584,342784,21240,1302574,63419
12/2020,13286,205535,11614,833123,36062
1/2021,11332,199875,11539,799290,36991
2/2021,5765,119143,4714,499529,24037
3/2021,19946,316066,17063,1129943,64327
4/2021,31315,439224,23735,1510729,85808
5/2021,51837,590174,45017,1972850,108739
6/2021,73193,699390,71421,2276553,128101
7/2021,73621,695185,82547,2185107,130346
8/2021,69842,674819,93796,2197394,130082
9/2021,68376,704173,97276,2372034,135380
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
